BAD,LOAN,MORTDUE,VALUE,YOJ,DEROG,DELINQ,CLAGE,NINQ,CLNO,DEBTINC,JOB_Mgr,JOB_Office,JOB_Other,JOB_ProfExe,JOB_Sales,JOB_Self
0.0,8200.0,10909.000000000007,37286.0,3.0,0,0.0,268.2546017,0.0,12.0,22.23295281,False,False,True,False,False,False
0.0,23600.0,82407.0,106431.0,11.12986557083604,0,0.0,169.8052711,0.0,24.0,39.48884444,False,False,True,False,False,False
0.0,18400.0,48970.0,69559.0,20.0,0,0.0,178.015833,0.0,23.0,39.70798807,False,False,False,True,False,False
0.0,14900.0,66329.0,100824.0,9.0,0,0.0,279.2407514,0.0,11.0,36.19837544,False,False,False,True,False,False
0.0,18900.0,44605.0,65489.0,15.0,0,0.0,189.0084559,0.0,23.0,38.57108327,False,False,False,True,False,False
0.0,21600.0,105759.0,139002.0,11.0,0,2.0,213.0345218,0.0,24.0,40.9030584,False,True,False,False,False,False
0.0,40600.0,362909.0,466731.0,4.0,0,0.0,305.8124192,4.0,14.0,42.93033947,False,False,False,True,False,False
0.0,11600.0,33379.0,51821.0,31.0,0,0.0,247.1205918,0.0,19.0,23.66108403,False,False,True,False,False,False
0.0,9700.0,44652.0,63232.0,9.0,0,0.0,102.1655136,0.0,22.0,37.03487587,False,False,True,False,False,False
1.0,9900.0,88236.0,104953.0,1.0000000000000009,0,0.0,51.648705239999984,0.0,2.0,28.62263209,False,False,False,True,False,False
0.0,17300.0,65077.0,91991.0,0.0,2,3.0,114.0234424,2.0,26.0,35.90776048,False,False,True,False,False,False
0.0,21000.0,131378.0,199687.0,12.0,0,0.0,208.6059657,0.0,21.0,37.09927911,False,False,False,True,False,False
0.0,14100.0,86730.0,117667.0,1.0000000000000009,0,2.0,134.3555745,0.0,34.0,31.98051047,False,False,False,True,False,False
0.0,28900.0,75887.0,117989.0,4.0,0,0.0,92.09054215,2.0,32.0,40.77888843,False,False,True,False,False,False
1.0,10600.0,61294.0,82646.0,5.0,0,4.000000000000001,87.85916929,2.0,13.0,36.39514815,False,False,False,True,False,False
0.0,17800.0,51689.0,115660.0,16.0,0,0.0,270.044991,0.0,19.0,27.46700181,False,False,False,True,False,False
0.0,28900.0,29515.0,49525.0,36.0,0,0.0,288.6562467,0.0,24.0,39.60580772,False,False,True,False,False,False
0.0,8700.0,46489.0,63573.0,4.0,0,0.0,196.24907,1.0,21.0,28.78792285,True,False,False,False,False,False
1.0,42400.0,220757.0,297444.0,30.0,0,0.0,237.5898022,1.0,25.0,44.47109904,False,False,False,True,False,False
0.0,11800.0,116742.0,137385.0,15.0,0,1.0,170.5400351,1.0,33.0,30.78500359,False,False,False,True,False,False
0.0,21200.0,130373.0,204384.0,13.0,0,0.0,197.0444606,0.0,21.0,35.20443453,False,False,False,True,False,False
0.0,50900.0,53334.0,63298.0,12.0,0,0.0,106.6882892,1.0,25.0,37.31209736,False,True,False,False,False,False
0.0,62700.0,120598.0,207803.0,9.0,0,0.0,304.3146151,2.0,26.0,36.43625181,False,False,False,True,False,False
0.0,20000.0,66820.0,100000.0,5.0,0,0.0,217.2666667,1.0,13.0,31.84297371629352,False,False,True,False,False,False
0.0,30300.0,18306.0,66747.0,1.0000000000000009,0,0.0,95.18143755,1.0,6.0,37.58289841,False,False,True,False,False,False
0.0,10500.0,64331.0,65040.0,4.0,0,0.0,66.54105782,1.0,20.0,42.33212434,False,False,True,False,False,False
0.0,21900.0,53458.0,77455.0,10.0,0,0.0,192.8877492,1.0,42.0,40.95631078,False,False,False,True,False,False
1.0,11200.0,56877.0,65125.0,6.0,2,0.0,12.17692857,0.0,1.0000000000000036,33.24121888,False,False,True,False,False,False
1.0,13000.0,7200.0,24869.0,0.6999999999999993,9,1.0,193.8,0.0,9.000000000000002,37.02814581010109,False,False,True,False,False,False
1.0,8500.0,18240.000000000007,40200.0,1.0000000000000009,0,1.0,306.4,0.0,12.0,42.54679787157261,False,False,True,False,False,False
1.0,8300.0,9999.999999999993,63775.0,0.0,0,0.0,200.8666667,0.0,14.0,47.77395067089138,False,False,True,False,False,False
1.0,6000.0,47625.0,85925.0,0.0999999999999996,2,1.0,154.1333333,4.0,26.0,37.04037526286852,False,True,False,False,False,False
0.0,13500.0,91734.0,114906.0,12.0,0,0.0,211.8769452,3.0,15.0,38.10420812,False,False,True,False,False,False
0.0,33500.0,240157.0,42013.0,3.0,0,2.0,201.6122988,2.0,50.0,41.64479426,True,False,False,False,False,False
0.0,22900.0,18059.0,57109.0,26.0,0,1.0,213.0362848,0.0,24.0,25.54701032,False,False,True,False,False,False
0.0,23000.0,71902.0,101750.0,5.0,0,0.0,214.3892524,0.0,13.0,29.04596406,False,False,True,False,False,False
0.0,5100.0,87258.0,121382.0,6.0,0,0.0,181.6630402,0.0,28.0,25.44475915,False,False,False,True,False,False
1.0,26800.0,18459.0,53907.0,0.0,0,0.0,200.4170271,0.0,6.0,71.51211057,False,False,True,False,False,False
0.0,13100.0,97287.0,123281.0,9.0,0,0.0,162.9937439,0.0,26.0,34.17834568,False,False,True,False,False,False
0.0,10500.0,27180.0,86978.0,22.0,0,0.0,230.7211544,0.0,10.0,25.75301023,False,False,False,True,False,False
0.0,9100.0,78210.0,86558.0,8.0,0,0.0,92.11150428,0.0,23.0,28.1670747,True,False,False,False,False,False
0.0,11000.0,102000.0,120000.0,3.0,0,0.0,125.8,1.0,26.0,33.67378375304915,False,False,True,False,False,False
0.0,18600.0,57300.0,8000.0,6.0,0,0.0,68.0,1.0,17.0,41.01236802754477,False,False,True,False,False,False
0.0,41100.0,94600.0,151000.0,15.0,0,1.0,220.1333333,4.0,31.0,41.853708170202296,False,False,True,False,False,False
0.0,26900.0,67144.0,92923.0,16.0,0,0.0,89.11217349,1.0,17.0,32.79147803,False,False,True,False,False,False
1.0,6800.0,31000.0,42000.0,3.5,1,0.0,106.2666667,2.0,26.0,38.91106793788058,True,False,False,False,False,False
0.0,27800.0,96332.0,123598.0,1.0000000000000009,0,0.0,190.3137746,2.0,38.0,33.85589547,False,False,False,True,False,False
